fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7.4;0.416;0.422;15.81;0.053;25.9;134.3;0.99487;3.28;0.31;11.86;6
6.93;0.312;0.464;17.26;0.052;41.6;144.2;0.98831;3.3;0.35;8.83;8
6.92;0.325;0.379;6.94;0.033;47.5;110.9;0.99262;3.47;0.37;11.39;4
7.03;0.32;0.192;9.42;0.057;67.6;142.8;0.99466;3.26;0.6;12.06;6
6.59;0.508;0.525;5.62;0.079;31.6;217.7;0.9975;3.26;0.57;9.52;7
6.96;0.053;0.351;4.44;0.067;26.8;154.2;0.98782;3.05;0.24;10.3;5
7.39;0.31;0.268;10.66;0.035;36.7;158.9;0.99463;3.11;0.47;11.82;8
6.92;0.273;0.361;12.81;0.044;6.8;131.5;0.99495;3.34;0.38;8.0;5
5.24;0.256;0.253;4.3;0.039;19.4;13.7;0.99026;3.2;0.7;11.87;5
6.26;0.338;0.648;10.46;0.025;28.3;170.2;0.99626;3.06;0.55;10.14;7
7.3;0.198;0.3;13.07;0.042;32.7;208.7;0.99344;3.17;0.47;9.07;6
6.83;0.285;0.33;0.6;0.047;2.4;151.1;0.99412;3.43;0.5;12.99;7
8.14;0.228;0.293;7.88;0.009;42.1;37.6;0.99563;3.12;0.58;10.7;6
7.44;0.293;0.424;3.6;0.051;46.1;164.1;0.99407;3.16;0.52;11.49;7
5.15;0.128;0.605;14.36;0.076;37.6;176.5;0.99174;3.4;0.56;9.98;6
5.78;0.275;0.161;3.5;0.05;46.1;142.8;0.99206;3.34;0.68;9.93;6
7.16;0.402;0.341;1.59;0.076;11.5;123.8;0.99807;3.39;0.54;8.51;5
7.06;0.254;0.372;0.6;0.009;58.5;93.5;0.99132;3.26;0.47;10.58;5
7.83;0.193;0.346;4.32;0.055;49.2;115.2;0.98902;3.02;0.4;9.28;7
5.51;0.523;0.387;7.95;0.039;39.4;144.7;0.99741;3.21;0.6;12.78;5
6.28;0.216;0.497;0.6;0.043;35.2;158.2;0.99787;3.06;0.58;9.69;6
6.87;0.255;0.27;5.1;0.045;14.4;128.3;1.00007;3.18;0.56;10.39;6
6.56;0.338;0.247;4.72;0.062;33.6;115.5;0.99277;3.16;0.51;12.86;6
5.1;0.358;0.27;7.06;0.009;45.0;89.1;0.9975;3.25;0.44;11.8;6
7.43;0.273;0.55;1.3;0.092;41.1;83.4;0.9933;2.8;0.44;11.97;6
5.77;0.337;0.373;3.43;0.05;47.3;165.6;0.99751;3.06;0.45;9.44;5
7.76;0.193;0.496;0.6;0.009;29.8;225.4;0.99222;3.34;0.53;8.55;6
7.35;0.168;0.439;5.63;0.01;46.9;187.9;0.99797;3.37;0.51;10.0;6
7.11;0.32;0.424;8.22;0.083;54.9;89.2;0.99749;3.29;0.52;11.14;5
6.02;0.413;0.224;5.41;0.061;2;79.1;0.99682;3.35;0.48;9.76;6
6.67;0.384;0.215;16.7;0.075;38.7;107.6;0.99364;3.31;0.35;9.78;7
5.88;0.188;0.154;12.28;0.035;38.5;111.7;0.99539;3.26;0.4;12.19;6
5.02;0.291;0.376;10.15;0.019;47.6;142.0;0.99837;3.3;0.56;10.95;6
7.21;0.41;0.402;9.58;0.037;36.9;103.4;0.99239;3.24;0.49;13.29;5
6.43;0.251;0.337;2.24;0.059;60.3;105.7;0.99449;3.15;0.72;10.13;6
7.05;0.398;0.35;6.12;0.032;29.9;154.0;0.99612;3.43;0.6;9.2;6
5.46;0.333;0.568;8.06;0.067;75.1;146.2;0.99219;3.11;0.59;11.24;5
6.97;0.321;0.183;15.23;0.035;72.0;147.1;0.99578;2.88;0.54;9.13;6
6.71;0.3;0.319;8.58;0.034;35.2;173.7;0.99335;3.16;0.47;11.79;5
6.49;0.359;0.204;5.99;0.088;34.9;79.6;0.99415;3.24;0.58;11.55;5
8.43;0.294;0.436;6.66;0.037;23.4;139.1;0.99105;3.41;0.53;9.12;6
6.81;0.408;0.407;6.34;0.073;14.5;117.6;0.99557;3.23;0.44;10.18;6
6.76;0.334;0.463;5.99;0.029;8.2;41.4;0.99673;3.19;0.39;10.5;7
4.85;0.305;0.389;10.88;0.043;50.0;131.9;0.99371;3.25;0.35;10.79;5
7.87;0.201;0.379;10.49;0.02;34.2;103.0;0.98679;3.29;0.4;10.37;6
6.2;0.337;0.206;4.93;0.021;8.0;162.0;0.9924;3.05;0.56;9.99;5
6.1;0.106;0.261;8.23;0.044;16.3;64.4;0.99647;3.27;0.33;10.32;4
7.71;0.318;0.399;4.99;0.048;33.2;100.2;0.99371;3.12;0.33;11.14;5
6.14;0.287;0.458;7.36;0.042;45.2;120.3;0.99403;3.31;0.37;11.18;5
5.89;0.365;0.321;5.46;0.018;50.2;154.7;0.99301;3.28;0.46;11.02;7
7.64;0.4;0.242;7.53;0.016;37.8;92.1;0.99208;3.06;0.53;12.55;6
6.94;0.249;0.253;7.02;0.03;42.7;163.7;0.98973;3.09;0.27;9.1;6
6.83;0.274;0.229;10.86;0.045;60.4;147.1;0.99347;3.27;0.57;8.84;5
6.21;0.175;0.353;0.6;0.025;30.5;136.6;0.99327;3.12;0.54;10.94;6
6.97;0.052;0.188;7.09;0.044;46.4;210.6;0.98954;3.06;0.33;10.41;6
5.9;0.228;0.367;8.55;0.065;57.1;209.5;0.9929;3.21;0.41;12.21;7
7.59;0.096;0.286;4.98;0.062;23.6;158.2;0.99869;3.24;0.34;9.49;6
7.2;0.271;0.374;0.6;0.024;83.9;131.6;0.99365;3.14;0.68;9.53;4
6.29;0.232;0.386;0.6;0.019;34.3;139.4;0.99378;3.39;0.72;14.52;5
8.03;0.192;0.297;15.16;0.059;11.0;151.7;0.98948;3.22;0.45;10.42;6
6.45;0.285;0.324;0.6;0.009;33.7;168.2;0.99869;3.39;0.27;10.08;6
7.19;0.256;0.28;3.25;0.053;2;88.5;0.98859;3.15;0.45;13.42;6
6.87;0.303;0.361;3.99;0.039;31.9;129.2;0.99547;3.12;0.35;10.38;6
8.57;0.126;0.399;7.59;0.054;43.6;189.0;0.99273;3.04;0.33;11.69;5
5.45;0.417;0.275;9.23;0.047;13.0;135.7;0.99195;3.35;0.41;9.44;5
7.78;0.335;0.191;9.55;0.069;50.2;204.6;0.99034;3.27;0.6;10.34;4
6.94;0.29;0.351;2.43;0.029;15.1;80.6;0.99714;3.18;0.38;8.26;5
7.15;0.455;0.205;11.38;0.034;23.4;60.2;0.99324;3.17;0.49;11.38;5
8.09;0.201;0.183;4.17;0.077;23.1;169.3;0.99529;3.2;0.75;9.13;6
6.85;0.342;0.466;2.84;0.012;52.9;129.2;0.99182;3.01;0.62;13.26;5
6.86;0.24;0.38;7.11;0.012;50.7;148.7;0.99299;3.04;0.44;10.51;6
6.1;0.313;0.504;3.65;0.09;29.0;154.1;0.99188;3.32;0.4;11.2;6
7.47;0.166;0.376;2.34;0.044;31.2;95.8;1.00163;3.19;0.49;10.85;6
5.44;0.317;0.456;5.42;0.036;30.7;90.4;0.9921;2.86;0.51;12.54;5
5.67;0.351;0.363;2.42;0.033;44.1;176.1;0.99367;3.17;0.45;10.75;6
7.86;0.223;0.447;15.99;0.009;69.8;225.2;0.99004;3.14;0.43;11.95;7
6.27;0.212;0.309;6.47;0.01;46.7;106.2;0.9893;3.17;0.42;10.75;7
6.2;0.312;0.337;12.58;0.097;47.8;170.3;0.98804;3.22;0.44;10.97;5
7.83;0.282;0.283;11.53;0.045;70.9;155.0;0.99376;3.24;0.66;10.26;7
7.55;0.388;0.333;4.5;0.056;8.3;94.4;0.98901;3.36;0.36;9.72;5
6.62;0.33;0.546;3.48;0.046;21.3;98.3;0.9967;3.34;0.33;10.07;7
6.48;0.317;0.398;0.6;0.078;63.3;84.5;1.00096;3.16;0.46;10.97;5
7.54;0.174;0.275;0.6;0.059;42.7;82.0;0.99355;3.52;0.28;12.11;6
8.29;0.253;0.63;0.6;0.11;46.0;102.4;0.9967;3.24;0.46;10.01;7
6.32;0.181;0.373;11.39;0.062;2;87.1;0.99692;3.4;0.63;9.62;6
6.91;0.269;0.338;18.39;0.035;35.8;154.1;0.99583;3.28;0.52;9.94;6
6.23;0.395;0.345;0.6;0.047;81.8;196.0;0.99274;3.28;0.62;11.34;6
7.31;0.266;0.249;12.51;0.061;15.6;163.9;0.99486;3.09;0.5;11.51;5
7.03;0.187;0.724;5.52;0.07;35.1;138.2;0.99358;3.35;0.22;11.58;6
7.26;0.33;0.607;5.41;0.071;18.0;101.6;0.99449;3.23;0.34;10.9;8
5.7;0.204;0.115;8.56;0.045;20.7;36.5;0.99587;3.35;0.44;11.31;6
7.08;0.273;0.394;0.6;0.045;36.0;98.6;0.99806;3.15;0.28;9.5;5
8.29;0.251;0.169;4.52;0.031;16.1;55.3;0.99734;3.24;0.45;10.58;4
6.89;0.466;0.438;6.74;0.055;30.0;137.0;0.99457;3.2;0.34;10.88;5
5.83;0.285;0.309;7.66;0.067;38.8;66.3;0.99394;3.15;0.24;10.27;6
5.2;0.422;0.205;0.76;0.07;37.7;114.8;0.99357;3.1;0.63;8.79;6
8.75;0.222;0.156;7.31;0.06;37.6;206.0;0.99468;3.23;0.61;13.84;5
7.43;0.182;0.294;6.31;0.049;17.4;203.7;0.99526;3.05;0.41;12.14;5
6.63;0.257;0.279;5.69;0.037;52.1;71.4;0.98826;2.89;0.52;10.14;5
7.14;0.234;0.291;7.88;0.037;47.0;131.4;0.99479;3.27;0.59;10.75;6
7.24;0.209;0.392;0.6;0.055;44.9;136.5;0.99242;3.38;0.48;10.54;6
6.66;0.434;0.278;14.21;0.053;33.8;50.5;0.99274;3.24;0.24;10.91;6
6.64;0.238;0.528;9.31;0.02;32.4;83.1;0.98932;3.32;0.62;8.0;5
6.32;0.319;0.288;0.6;0.064;27.8;161.3;0.99376;3.01;0.61;10.3;6
7.27;0.175;0.289;7.45;0.067;22.9;160.5;0.99515;3.05;0.6;10.83;6
7.1;0.28;0.304;0.6;0.073;47.9;137.8;0.99438;3.12;0.47;11.55;6
5.99;0.313;0.331;5.97;0.015;41.0;156.3;0.99188;3.1;0.42;8.56;6
6.2;0.359;0.262;4.28;0.07;51.2;154.8;0.99676;3.42;0.55;9.91;8
7.04;0.171;0.515;2.15;0.047;21.8;208.2;0.99798;3.17;0.56;11.33;6
7.51;0.259;0.31;10.81;0.035;34.6;192.6;0.99439;3.15;0.34;9.85;5
7.49;0.424;0.181;6.78;0.024;6.9;185.8;0.99026;3.06;0.57;11.67;6
6.51;0.372;0.653;7.41;0.012;52.2;158.0;0.99182;3.05;0.55;9.81;5
8.46;0.079;0.463;9.73;0.047;37.2;123.8;0.9933;3.19;0.44;11.09;4
5.67;0.332;0.299;4.74;0.036;35.4;103.6;0.99528;3.14;0.5;11.16;5
7.32;0.281;0.442;2.67;0.052;24.1;30.1;0.99368;3.05;0.66;11.8;6
7.79;0.269;0.517;9.11;0.083;63.0;191.8;0.99607;3.0;0.47;8.0;7
8.15;0.337;0.233;7.39;0.065;51.5;102.7;0.9949;3.31;0.42;9.91;6
5.83;0.309;0.518;6.73;0.059;38.6;141.5;0.99896;3.02;0.51;10.33;5
5.81;0.421;0.341;3.6;0.041;20.9;111.0;0.9941;3.29;0.56;8.79;6
5.39;0.301;0.439;11.25;0.058;24.5;221.3;0.9955;3.31;0.44;10.7;7
5.31;0.366;0.252;1.35;0.026;39.3;161.9;0.99183;3.21;0.55;10.21;6
7.67;0.171;0.419;7.47;0.058;55.6;137.2;1.00327;3.38;0.55;10.81;6
8.34;0.259;0.415;4.23;0.077;18.9;106.7;0.99431;3.18;0.44;9.53;5
8.25;0.375;0.311;3.93;0.009;59.5;95.8;0.99513;3.11;0.34;11.44;5
8.88;0.467;0.339;9.91;0.009;37.6;162.4;0.99447;3.03;0.35;8.99;7
5.91;0.283;0.391;18.15;0.016;49.4;134.9;0.99325;2.91;0.65;10.47;7
6.65;0.406;0.337;11.07;0.053;58.2;151.0;0.99572;3.35;0.44;12.15;5
7.39;0.15;0.36;2.27;0.09;47.3;130.3;0.99846;3.31;0.4;10.59;6
5.85;0.194;0.39;15.09;0.027;26.2;149.1;0.99524;3.1;0.32;11.76;6
5.84;0.43;0.379;1.59;0.062;31.6;124.5;0.99461;3.08;0.45;9.04;5
6.17;0.209;0.322;0.6;0.026;23.2;74.6;0.99649;2.99;0.57;9.12;5
5.78;0.187;0.189;9.38;0.032;25.2;105.2;0.99955;2.97;0.37;11.11;6
8.36;0.214;0.367;8.82;0.057;5.0;90.0;0.99511;3.23;0.46;8.91;7
5.66;0.248;0.192;0.6;0.037;47.6;166.2;0.99312;3.42;0.51;11.06;6
7.69;0.482;0.315;8.55;0.057;17.8;109.9;1.00012;3.01;0.42;12.7;7
7.3;0.364;0.195;7.84;0.009;37.0;146.3;0.99038;3.26;0.46;8.83;6
7.22;0.415;0.397;10.52;0.043;31.2;147.1;0.99113;2.77;0.55;12.39;6
6.36;0.34;0.332;0.6;0.009;27.5;137.1;0.99466;3.11;0.37;9.84;6
5.77;0.297;0.258;4.75;0.031;59.0;139.7;0.99551;3.15;0.44;10.89;7
8.46;0.353;0.231;8.87;0.053;41.0;98.1;0.99979;3.16;0.32;9.68;6
7.23;0.495;0.204;2.67;0.079;22.8;176.9;1.00032;3.42;0.49;11.82;4
7.82;0.317;0.223;13.99;0.023;46.0;181.6;0.99737;3.09;0.58;9.85;5
7.44;0.433;0.183;5.84;0.084;19.0;112.9;0.99352;3.27;0.53;9.84;6
9.38;0.092;0.542;7.32;0.067;8.3;184.6;0.9904;2.83;0.57;10.2;6
6.99;0.307;0.245;11.65;0.033;26.4;152.2;0.99479;3.06;0.64;11.02;6
7.98;0.304;0.474;0.6;0.054;59.9;211.0;0.99439;3.01;0.33;9.11;7
7.0;0.335;0.191;0.6;0.049;30.2;159.3;0.99376;3.29;0.42;11.14;4
6.75;0.305;0.391;14.53;0.022;53.4;122.9;0.99741;3.38;0.47;8.75;5
6.86;0.278;0.358;1.45;0.081;35.7;125.5;0.99225;3.06;0.57;12.0;5
5.96;0.13;0.419;7.41;0.087;55.4;80.2;0.991;3.13;0.57;10.64;5
6.72;0.267;0.366;13.27;0.067;25.5;97.1;0.99074;3.16;0.27;8.56;5
6.49;0.39;0.249;8.2;0.069;24.1;140.3;0.99422;2.95;0.46;11.08;6
6.22;0.386;0.201;7.8;0.029;26.3;127.6;0.99272;3.11;0.61;10.27;6
6.17;0.375;0.291;0.6;0.058;50.6;41.6;0.99484;3.26;0.7;8.72;6
7.3;0.334;0.481;2.39;0.02;28.5;101.1;0.99766;3.17;0.64;9.21;6
6.15;0.278;0.406;10.35;0.033;47.1;115.7;0.99787;3.16;0.48;9.89;5
7.08;0.267;0.25;0.92;0.05;12.9;137.5;1.00018;3.15;0.51;12.35;6
8.35;0.319;0.344;1.05;0.066;4.4;125.1;0.98989;2.98;0.54;8.39;8
6.36;0.142;0.242;14.49;0.063;22.3;156.0;0.99508;3.36;0.72;10.33;6
6.68;0.258;0.255;7.42;0.026;33.9;183.9;0.99539;3.37;0.54;8.02;6
8.67;0.236;0.281;8.01;0.033;33.6;189.1;0.9909;3.29;0.68;8.13;6
6.46;0.312;0.182;2.13;0.068;71.4;151.4;0.99003;3.1;0.41;12.66;6
7.76;0.351;0.463;7.89;0.02;16.5;178.8;0.99428;3.01;0.63;12.18;6
4.99;0.294;0.178;11.93;0.052;34.3;172.8;0.99624;3.31;0.59;11.46;6
7.7;0.221;0.28;5.15;0.08;18.1;67.8;0.99183;3.02;0.46;10.62;6
7.79;0.31;0.172;8.12;0.071;12.7;233.0;0.98642;3.24;0.59;8.43;6
7.35;0.267;0.128;10.37;0.019;41.0;125.0;0.99197;3.38;0.41;8.6;6
7.5;0.225;0.243;1.53;0.022;18.1;134.9;0.99039;3.16;0.4;11.64;6
7.07;0.346;0.647;4.75;0.064;29.8;139.8;0.99522;3.16;0.54;11.23;6
6.73;0.307;0.035;15.44;0.069;51.0;60.5;0.99834;3.13;0.48;12.22;7
7.13;0.175;0.374;16.3;0.061;40.4;252.2;0.99541;2.99;0.4;11.66;5
7.94;0.259;0.262;17.23;0.087;33.3;64.2;0.99674;3.45;0.43;11.3;5
7.09;0.248;0.411;0.6;0.046;46.1;109.1;0.99669;3.14;0.47;9.81;7
6.25;0.149;0.349;12.41;0.083;28.3;141.4;0.9948;3.13;0.47;8.0;6
6.16;0.071;0.021;6.85;0.06;63.4;183.3;0.9939;3.13;0.38;12.16;6
5.55;0.189;0.468;7.24;0.051;48.9;102.5;0.99625;3.19;0.56;11.97;6
7.81;0.139;0.285;11.55;0.034;33.1;42.2;0.99157;3.09;0.39;10.91;7
7.12;0.254;0.271;1.96;0.016;27.5;222.2;0.99178;3.4;0.61;10.21;6
7.49;0.267;0.294;0.6;0.024;41.0;185.4;0.99335;3.2;0.64;10.47;6
7.45;0.35;0.123;0.6;0.083;30.0;162.3;0.99431;3.4;0.45;12.52;6
6.58;0.218;0.239;7.45;0.036;48.9;110.4;0.99253;3.21;0.48;8.0;6
6.89;0.276;0.534;6.25;0.061;28.3;174.4;0.98772;3.38;0.66;11.8;8
7.76;0.262;0.494;16.93;0.058;40.0;182.4;0.99212;3.24;0.4;11.06;6
8.25;0.389;0.253;3.42;0.034;25.0;110.4;0.99537;3.28;0.5;10.58;5
8.51;0.245;0.448;0.6;0.081;55.0;198.0;0.99456;3.12;0.39;11.46;5
7.07;0.405;0.357;1.73;0.064;25.9;109.2;0.99224;3.11;0.46;11.28;6
8.01;0.412;0.183;5.93;0.052;42.4;220.5;0.99546;2.92;0.35;13.47;6
6.7;0.309;0.32;2.98;0.099;18.0;156.2;0.98728;3.18;0.63;9.74;7
6.91;0.279;0.339;2.7;0.049;36.7;170.6;0.99212;3.3;0.49;10.0;6
6.43;0.459;0.366;8.19;0.043;64.9;88.9;0.99494;3.08;0.44;12.82;4
7.52;0.366;0.343;6.62;0.072;28.3;145.8;0.99559;3.41;0.54;9.14;5
6.67;0.156;0.384;5.92;0.049;42.2;151.4;0.9946;3.21;0.62;9.03;7
7.47;0.456;0.354;11.33;0.057;59.7;156.2;0.99221;3.09;0.46;11.56;6
7.99;0.325;0.329;6.11;0.073;11.5;120.7;0.99213;3.21;0.45;11.23;6
6.66;0.304;0.336;7.07;0.053;52.8;126.8;0.99179;3.38;0.72;9.55;4
6.12;0.445;0.432;13.65;0.078;52.3;181.3;0.99453;3.32;0.51;10.43;6
8.22;0.562;0.375;0.6;0.073;43.0;205.5;0.99503;3.25;0.51;10.77;8
7.11;0.551;0.456;11.87;0.066;40.1;127.7;0.99289;3.08;0.36;10.98;6
6.95;0.275;0.438;6.78;0.056;36.8;164.4;0.99522;3.32;0.69;10.14;5
6.78;0.202;0.396;1.85;0.044;43.9;121.6;0.99733;3.11;0.69;9.5;4
6.29;0.268;0.478;2.78;0.053;34.5;69.6;0.99156;3.12;0.37;11.03;6
5.66;0.136;0.342;13.85;0.017;27.9;159.5;0.99704;3.21;0.61;10.68;5
6.1;0.089;0.539;3.25;0.06;43.0;110.9;0.99426;3.04;0.6;12.32;7
5.68;0.268;0.246;8.53;0.042;64.9;116.4;0.99566;3.33;0.35;11.87;6
8.3;0.493;0.247;0.6;0.068;27.6;104.9;0.98969;3.1;0.45;9.31;6
7.66;0.189;0.487;0.95;0.054;44.7;198.7;0.99132;2.93;0.66;10.85;6
7.17;0.339;0.445;0.6;0.009;62.1;117.0;0.99195;3.16;0.45;13.4;5
5.91;0.243;0.172;9.63;0.084;40.2;97.0;0.99632;3.14;0.61;9.42;6
5.96;0.288;0.121;8.41;0.051;51.6;89.5;0.99261;3.19;0.6;9.62;5
6.65;0.284;0.551;7.72;0.025;38.0;113.2;0.99432;3.2;0.48;11.77;6
7.44;0.152;0.351;4.85;0.019;52.9;191.5;0.99266;3.16;0.8;10.06;6
7.32;0.439;0.361;1.03;0.059;57.6;175.6;0.98976;3.4;0.48;9.04;6
7.69;0.093;0.485;7.27;0.056;60.6;213.5;0.99656;3.04;0.5;10.4;6
5.96;0.226;0.138;0.6;0.07;50.8;126.1;0.99118;3.15;0.61;9.53;6
6.22;0.1;0.468;7.12;0.065;31.8;131.9;0.99538;3.17;0.37;12.23;4
5.76;0.37;0.246;4.72;0.014;20.6;164.9;0.99505;3.17;0.58;8.71;7
7.04;0.241;0.266;3.93;0.021;39.5;146.0;0.98906;3.09;0.47;12.49;7
7.5;0.19;0.344;8.33;0.046;56.6;143.3;0.99426;3.15;0.65;8.99;6
6.19;0.361;0.365;8.81;0.038;43.6;125.6;0.98826;3.07;0.65;8.27;6
6.64;0.271;0.575;4.12;0.033;27.6;203.5;0.99988;3.2;0.4;12.78;5
5.65;0.274;0.404;10.53;0.053;40.7;145.2;0.98543;3.25;0.67;11.84;7
8.38;0.41;0.298;7.79;0.048;27.8;133.0;0.99278;3.09;0.49;11.78;6
7.84;0.207;0.553;9.11;0.047;56.3;103.2;1.00197;3.2;0.29;10.22;5
7.23;0.307;0.103;4.32;0.042;44.1;73.0;0.99445;3.22;0.34;11.88;6
6.67;0.195;0.34;0.6;0.059;37.4;213.1;0.99989;3.35;0.33;10.52;5
7.28;0.273;0.246;4.44;0.046;45.1;88.0;0.99901;3.29;0.53;11.27;5
6.57;0.191;0.26;3.75;0.027;24.5;156.4;0.99299;3.27;0.4;12.37;6
