fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
9.23;0.673;0.23;3.95;0.054;27.9;58.1;0.99404;3.37;0.69;10.04;6
7.04;0.31;0;3.43;0.057;10.9;37.4;0.99378;3.64;0.6;9.41;6
9.71;0.468;0.03;4.29;0.114;1.5;72.1;0.99396;3.24;0.47;9.74;5
6.87;0.453;0.361;3.3;0.198;8.4;48.5;0.99719;3.36;0.7;10.01;6
10.16;0.206;0.437;2.84;0.09;10.4;32.5;0.99749;3.44;0.4;10.65;5
7.34;0.298;0.422;2.66;0.138;12.1;99.8;0.99447;3.37;0.55;12.23;6
9.17;0.379;0.788;1.21;0.05;17.9;16.8;0.99827;3.59;0.59;10.6;5
7.42;0.296;0;1.92;0.08;27.4;6;0.996;3.57;0.61;12.72;5
4.43;0.694;0.306;4.06;0.081;17.8;83.2;0.99744;3.35;1.2;10.24;7
8.61;0.666;0.037;2.74;0.062;11.3;106.7;0.99635;3.23;0.61;9.3;3
9.5;0.593;0.392;1.01;0.079;3.2;67.2;0.99771;3.29;0.71;8.75;5
9.81;0.827;0.535;2.33;0.082;8.1;44.1;0.99795;3.44;0.56;9.9;5
7.94;0.462;0.34;2.46;0.032;13.8;88.2;0.99652;3.18;0.78;8.44;5
4.63;0.843;0.304;1.25;0.15;3.4;6;0.99654;3.17;0.86;10.79;6
9.69;0.806;0;3.02;0.029;1.8;99.0;0.99797;3.19;0.7;11.11;5
8.64;0.725;0.177;4.3;0.083;15.5;101.5;0.99735;3.44;0.72;8.4;5
9.5;0.649;0.511;1.05;0.124;9.5;84.5;0.99633;2.96;0.66;8.51;6
7.94;0.742;0.393;3.32;0.034;14.0;58.6;0.99584;3.2;0.51;9.74;6
8.02;0.57;0.391;1.58;0.125;15.8;125.8;0.99612;3.51;0.77;9.16;6
10.69;0.623;0.239;0.9;0.036;19.7;49.1;0.99702;3.17;0.49;11.35;6
6.49;0.131;0.046;4.26;0.035;10.1;8.3;0.99834;3.31;0.74;10.31;5
6.28;0.397;0.214;2.44;0.138;24.4;45.9;0.99861;3.22;0.9;11.88;5
9.84;0.411;0.515;3.66;0.11;8.3;39.5;0.99727;3.0;0.56;11.42;7
6.11;0.32;0.013;1.82;0.086;17.6;63.6;0.99681;3.28;0.5;10.08;6
6.05;0.448;0.41;3.17;0.162;15.8;6;0.99618;3.34;0.6;11.93;5
7.89;0.457;0.112;4.31;0.03;11.6;30.4;0.99868;3.28;0.71;10.23;5
8.92;0.616;0.138;4.53;0.024;36.4;96.7;0.99445;3.31;0.9;9.89;5
8.04;0.319;0.223;4.18;0.185;24.6;86.2;0.99622;3.1;0.78;9.27;6
8.84;0.537;0.113;1.1;0.04;1.4;6;0.99806;3.09;0.66;9.76;6
12.54;0.619;0;2.38;0.104;26.3;59.5;0.99542;3.32;0.54;9.84;6
7.98;0.171;0.369;2.42;0.046;25.6;31.0;0.99863;3.3;0.79;11.15;5
9.14;0.425;0.175;3.09;0.066;9.4;84.7;0.99546;3.55;0.45;10.43;6
8.18;0.563;0.482;1.98;0.119;14.4;40.1;0.99719;2.99;0.67;9.74;6
6.7;0.637;0.105;4.22;0.036;16.7;15.2;0.9947;3.43;0.73;11.7;5
5.36;0.519;0.164;6.7;0.077;11.1;79.0;0.9964;3.35;0.51;12.08;5
7.23;0.315;0.257;3.27;0.094;10.0;78.8;0.9942;3.37;0.51;10.33;6
11.1;0.996;0.259;1.35;0.041;32.7;6;0.9961;3.22;0.96;9.34;7
10.24;0.249;0.1;2.21;0.016;27.6;52.7;0.99995;3.25;0.69;9.03;6
7.4;0.472;0.088;1.12;0.101;10.9;43.0;0.99626;3.38;0.63;11.34;5
8.5;0.459;0.088;3.04;0.01;27.8;8.0;0.99766;3.34;0.7;11.33;6
6.83;0.502;0.464;5.29;0.063;24.1;53.7;0.99369;3.16;0.45;9.88;5
7.59;0.407;0.222;3.71;0.08;14.1;68.2;0.99624;3.18;0.43;12.45;6
8.19;0.618;0.187;1.31;0.173;13.5;103.5;0.99573;3.28;0.79;10.2;5
6.76;0.519;0.487;3.06;0.143;30.6;25.7;0.99841;3.47;0.55;10.01;6
5.89;0.477;0.456;3.01;0.083;11.2;46.9;0.99651;2.97;0.54;8.4;7
10.57;0.408;0.288;3.75;0.078;2.0;6;0.9988;3.42;0.39;10.04;7
9.24;0.469;0.357;1.95;0.228;1;15.8;0.99804;3.67;0.49;12.38;4
6.72;0.449;0.233;3.69;0.083;28.9;43.7;0.99222;3.32;0.77;9.45;5
9.11;0.597;0.128;2.82;0.117;31.6;57.3;0.99432;3.31;0.55;11.83;6
5.4;0.451;0.262;2.1;0.061;21.7;69.0;0.99672;3.43;0.68;12.2;7
7.43;0.8;0.546;2.69;0.081;12.4;67.2;0.9978;3.16;0.77;11.74;5
6.66;0.824;0.555;2.0;0.149;16.9;63.8;0.9985;3.52;0.52;9.74;6
6.2;0.568;0.201;1.69;0.088;33.4;56.0;0.99614;3.08;0.75;11.64;5
9.38;0.323;0.203;1.82;0.075;9.9;81.6;0.99766;3.38;0.59;10.19;6
9.01;0.342;0.061;2.41;0.136;20.0;64.9;0.99385;3.08;0.85;10.38;5
6.03;0.49;0.327;5.83;0.083;38.0;78.7;0.99861;3.34;0.69;8.61;7
7.21;0.378;0.456;2.48;0.157;1;11.1;0.99873;3.21;0.48;9.86;5
7.0;0.312;0.216;2.4;0.054;18.1;46.6;0.99585;3.53;0.46;10.06;6
8.35;0.693;0.198;5.82;0.083;10.8;59.0;0.99486;3.34;0.31;11.14;5
8.44;0.765;0.324;2.41;0.073;15.2;13.2;0.99683;3.42;0.7;10.14;6
7.54;0.848;0.251;1.31;0.03;6.8;34.5;0.99815;3.45;0.85;10.58;5
9.77;0.878;0.146;4.22;0.052;4.9;63.5;1.00116;3.25;0.52;8.77;5
7.46;0.578;0.043;4.2;0.01;19.2;30.3;0.99953;3.43;0.3;8.4;6
6.58;0.616;0.376;3.13;0.152;33.8;16.5;0.99925;3.45;0.71;11.21;6
5.5;0.306;0.392;4.75;0.077;2.7;6;0.9972;3.12;1.03;12.93;7
8.71;1.052;0.773;1.5;0.092;10.3;32.9;0.99877;3.21;0.68;9.39;6
7.46;0.635;0.048;2.41;0.195;33.0;6;0.99739;3.44;0.57;9.24;5
9.47;0.612;0.387;4.24;0.062;10.6;55.8;0.99581;3.44;0.76;9.33;6
7.79;0.4;0.485;0.9;0.053;6.4;75.3;0.99965;3.43;0.9;8.4;6
8.6;0.488;0.219;5.21;0.106;30.5;30.0;0.99688;3.15;0.73;9.77;6
10.38;0.539;0.086;3.94;0.054;3.3;8.6;0.99693;3.5;0.67;11.73;5
8.48;0.56;0.265;3.36;0.022;23.8;6;0.99737;3.35;0.72;10.98;6
8.87;0.397;0.124;3.36;0.037;23.4;70.0;0.99662;3.19;0.36;9.22;6
5.49;0.673;0.373;2.09;0.082;22.3;47.7;0.99467;3.31;0.71;9.07;6
10.08;0.651;0.396;2.8;0.153;1;36.4;0.99679;3.62;0.83;11.53;4
7.0;0.668;0.199;4.36;0.072;16.1;6;0.99609;3.35;0.72;11.1;6
5.48;0.773;0.113;4.6;0.177;39.9;40.2;0.99449;3.36;0.65;8.53;5
9.6;0.58;0;0.9;0.136;24.1;51.3;0.9989;3.3;0.41;12.42;5
7.23;0.288;0.496;3.54;0.109;1;63.0;0.99724;3.26;0.42;10.36;5
6.8;0.681;0.275;1.83;0.116;20.4;62.1;0.99441;3.37;0.63;10.55;5
10.28;0.661;0.186;3.78;0.075;25.9;107.5;0.99877;3.66;0.39;9.83;5
7.86;0.625;0.393;2.03;0.088;5.8;60.2;0.99594;3.32;0.66;11.23;6
7.37;0.461;0.397;3.29;0.127;12.9;6;0.99435;3.24;0.79;11.27;7
5.16;0.631;0.396;3.43;0.077;5.3;124.7;0.99825;3.29;0.59;9.25;6
8.4;0.702;0.347;1.25;0.133;24.7;11.9;0.99539;3.23;0.46;11.56;6
7.76;0.389;0.329;1.62;0.01;18.9;14.1;0.99401;3.31;0.67;11.99;6
8.49;0.459;0.487;2.45;0.042;23.1;90.8;0.9953;3.05;0.58;8.98;6
11.18;0.478;0.209;2.79;0.019;6.6;84.0;1.00194;3.43;0.58;9.45;6
10.12;0.486;0.417;2.61;0.03;15.0;8.8;0.9955;3.17;0.71;10.62;6
6.02;0.504;0.305;3.7;0.117;20.9;42.6;0.99768;3.28;0.59;11.51;5
6.35;0.549;0;3.37;0.07;23.9;52.5;0.99583;3.44;0.46;10.14;7
7.38;0.531;0.388;3.51;0.138;23.2;40.3;0.9957;3.37;0.54;9.54;4
7.45;0.449;0.112;1.77;0.078;9.1;47.3;0.99324;3.38;0.69;10.9;5
7.51;0.392;0.309;3.66;0.043;6.8;12.5;0.99477;3.18;0.47;12.11;6
9.38;0.268;0.193;4.4;0.109;18.7;67.2;0.99779;3.41;0.9;9.31;5
8.2;0.441;0.351;1.11;0.033;1;6;0.99463;3.25;0.75;11.14;5
9.87;0.583;0.373;2.59;0.135;1;8.0;0.99662;3.25;0.5;11.08;5
6.62;0.826;0.332;2.24;0.123;9.7;41.8;0.99368;3.38;0.68;9.08;5
10.58;0.731;0.351;1.33;0.093;13.1;38.5;0.99436;3.38;0.65;11.28;5
5.78;0.724;0.269;1.03;0.157;1;85.8;0.99692;3.2;0.74;9.1;5
7.72;0.28;0.322;3.21;0.096;22.7;75.0;0.99734;3.27;0.87;9.67;5
10.75;0.488;0.643;4.66;0.081;38.0;94.0;0.99765;2.97;1.0;10.32;5
9.2;0.425;0.184;0.9;0.092;1;6;0.99687;3.29;0.83;8.97;7
9.05;0.708;0.396;1.96;0.196;1;105.5;0.99664;3.32;0.7;8.7;6
5.84;0.596;0.227;2.94;0.055;14.3;26.0;0.99726;3.28;0.97;9.68;6
10.27;0.362;0.286;2.36;0.074;30.7;80.2;0.99575;3.33;0.77;9.52;3
9.45;0.495;0.232;1.85;0.071;10.9;70.5;0.99608;3.24;0.55;8.82;5
11.03;0.405;0.368;2.22;0.054;6.7;6;0.99886;3.31;0.74;10.99;6
11.0;0.543;0.502;0.9;0.065;18.5;75.7;0.9975;3.3;0.58;9.56;5
11.63;0.571;0;5.51;0.197;23.9;78.1;0.99945;3.32;0.4;11.05;6
9.36;0.678;0.124;0.9;0.105;18.4;47.1;0.99416;3.01;0.95;10.19;5
9.2;0.724;0.392;0.98;0.049;18.8;6;0.99831;3.13;0.59;11.64;6
8.3;0.376;0.652;3.55;0.14;12.4;75.9;0.99815;3.15;0.54;13.54;7
7.6;0.768;0.548;1.32;0.068;8.6;6;0.99983;3.24;0.72;10.46;5
8.92;0.543;0.325;0.91;0.049;7.0;6;0.9982;3.48;0.76;9.78;5
7.39;0.406;0.261;3.16;0.033;4.4;76.1;0.99815;3.11;0.9;11.09;6
8.66;0.476;0.444;3.32;0.025;20.0;26.8;0.99961;3.31;0.57;9.99;5
5.71;0.737;0.203;3.0;0.014;18.6;61.3;0.99699;3.19;0.88;9.22;4
8.81;0.393;0.546;3.41;0.07;13.9;16.6;0.9972;3.11;0.66;9.87;5
9.31;0.269;0.134;2.77;0.143;35.9;64.4;0.99677;3.48;0.59;10.83;7
9.7;0.349;0.538;1.35;0.051;20.3;6;0.99822;3.3;0.73;9.54;7
9.79;0.667;0.58;6.02;0.073;26.5;61.9;0.99596;3.6;0.56;11.62;4
9.0;0.748;0.182;4.4;0.026;19.0;6;0.99684;3.42;1.0;10.47;4
7.02;0.416;0.344;1.0;0.161;34.3;6;0.99948;3.31;0.82;9.02;5
7.06;0.502;0.203;2.56;0.161;15.6;108.3;0.99906;3.46;0.53;10.11;7
6.72;0.596;0.313;4.28;0.152;27.9;65.8;0.9922;3.47;0.67;11.25;5
9.17;0.262;0.255;1.31;0.084;20.0;63.2;0.99986;3.23;0.61;11.03;5
9.99;0.073;0.16;2.86;0.126;15.4;63.0;0.99829;3.51;0.78;8.95;5
9.12;0.389;0.391;3.12;0.052;25.8;35.2;0.99538;3.35;0.66;9.45;6
9.4;0.527;0.482;2.8;0.063;35.5;51.1;0.9977;3.3;0.73;9.5;6
6.91;0.339;0.251;5.12;0.104;16.4;75.6;0.99552;3.54;0.93;10.88;5
6.95;0.421;0.298;0.9;0.048;13.8;51.4;0.99622;3.22;0.68;11.09;5
8.66;0.495;0.165;1.82;0.073;26.2;35.4;0.99649;3.29;0.75;11.11;6
11.76;0.306;0.02;3.72;0.01;17.8;16.1;0.9946;3.26;0.83;9.76;5
8.97;0.67;0.348;5.48;0.09;12.3;86.8;0.99658;3.37;-0.01;10.9;6
8.19;0.493;0.618;2.96;0.079;23.2;45.9;0.99863;3.08;0.46;12.04;6
9.36;0.743;0.372;0.9;0.097;14.6;22.1;0.99231;3.13;0.57;11.62;7
13.11;0.372;0.278;1.93;0.088;16.7;69.5;0.99663;3.31;0.76;10.07;5
7.52;0.132;0.364;1.51;0.149;17.8;95.7;0.99507;3.48;0.38;11.42;7
7.91;0.461;0.323;2.3;0.111;29.9;113.5;0.99796;2.93;0.6;9.89;7
6.93;0.139;0.301;1.56;0.062;12.4;28.9;0.99942;3.48;0.86;12.89;5
6.98;0.993;0.252;4.42;0.1;40.0;6;0.99715;3.51;0.74;10.19;6
8.69;1.037;0.465;5.09;0.15;24.6;6;0.99366;3.2;0.7;10.42;5
8.97;0.534;0.276;0.9;0.137;37.2;33.3;0.99485;3.32;0.58;10.28;6
9.98;0.33;0.226;1.76;0.168;24.9;38.4;0.9983;3.37;0.64;10.92;6
9.8;0.159;0.152;4.12;0.122;6.8;21.7;1.00115;3.38;0.84;12.35;5
9.27;0.6;0.378;4.57;0.074;1;43.9;0.99824;3.31;0.71;8.58;5
6.87;0.405;0.424;1.97;0.154;10.2;33.5;0.99785;3.33;0.64;10.85;6
7.69;0.696;0;2.68;0.137;23.0;73.7;1.00033;3.2;0.79;10.32;5
10.26;0.52;0.337;2.57;0.017;24.1;62.0;0.99182;3.2;0.48;9.69;6
9.08;0.357;0;1.91;0.01;19.3;33.3;0.99681;3.51;0.5;8.4;6
8.27;0.417;0.033;4.27;0.141;29.9;130.4;1.0001;3.26;0.78;11.22;7
2.83;0.771;0.019;0.9;0.082;38.8;57.0;0.99634;3.19;0.77;10.02;5
9.56;0.749;0.032;1.31;0.047;6.4;62.9;0.99821;3.47;0.68;8.4;7
7.58;0.495;0.217;4.24;0.06;24.8;18.3;0.99817;3.28;0.63;10.33;6
9.28;0.509;0.22;3.51;0.06;17.2;100.8;1.00026;3.15;0.97;10.67;5
7.94;0.733;0.241;1.94;0.104;11.7;81.6;0.99637;3.37;0.54;9.08;5
9.57;0.608;0.614;2.4;0.01;28.9;6;0.99559;3.3;0.58;11.6;5
10.45;0.229;0.392;2.71;0.132;1;46.6;0.9988;3.52;0.53;10.12;6
11.52;0.466;0.197;3.88;0.096;10.4;35.0;0.99843;3.16;0.6;10.94;7
8.3;0.252;0.229;3.9;0.119;27.5;109.8;0.99588;3.17;0.45;10.29;4
10.09;0.585;0;5.64;0.093;7.3;10.8;0.99815;3.32;0.71;9.56;7
7.18;0.379;0.144;3.45;0.086;27.6;19.4;0.99352;3.25;0.71;8.85;6
8.13;0.344;0.465;1.62;0.062;18.8;54.0;0.99941;3.29;0.74;9.78;6
9.46;0.432;0.46;4.48;0.156;4.7;60.9;0.99427;3.19;0.44;10.14;8
5.82;0.516;0.468;2.25;0.095;12.3;6;0.99783;3.54;0.69;11.72;6
10.48;0.378;0;2.41;0.139;1;52.7;0.99748;3.39;0.75;11.07;5
5.56;0.457;0.115;3.66;0.11;15.5;18.3;0.9971;3.18;0.65;11.31;6
4.89;0.593;0;0.9;0.176;25.4;6;0.99669;3.21;0.75;12.4;5
9.46;0.584;0.455;0.9;0.044;7.1;54.0;0.99599;3.05;0.42;10.54;5
8.21;0.514;0.223;4.9;0.126;31.4;6;0.99691;3.49;0.78;9.69;7
7.0;0.49;0.305;2.97;0.13;25.1;49.0;0.99732;3.22;0.55;9.07;5
7.76;0.372;0.399;3.54;0.063;12.5;58.9;0.99527;3.25;0.92;9.62;7
7.42;0.692;0.265;3.62;0.061;25.5;120.6;0.99838;3.23;0.7;12.13;5
8.09;0.288;0.358;3.72;0.079;13.5;64.5;0.99568;3.26;0.65;12.0;6
8.23;0.8;0.306;1.35;0.11;4.5;35.5;0.99837;3.5;0.56;9.76;6
7.6;0.405;0.189;2.07;0.098;11.6;43.3;0.99577;3.37;0.71;10.65;5
9.42;0.407;0.252;2.2;0.049;27.7;55.9;0.99786;3.66;0.65;10.49;6
11.07;0.338;0.217;1.84;0.134;22.6;44.0;0.99583;3.31;0.78;11.31;5
8.22;0.617;0.339;3.67;0.097;18.8;19.5;0.99664;3.24;0.66;10.09;6
7.77;0.433;0.142;3.72;0.017;1;96.9;0.99862;3.37;0.81;11.25;5
7.99;0.718;0;1.05;0.019;28.1;79.6;1.00094;3.44;0.75;11.35;6
9.17;0.27;0.348;3.79;0.08;17.8;21.3;0.99337;3.39;0.64;10.88;5
7.91;0.661;0.312;1.68;0.154;8.1;6;0.99453;3.22;0.91;10.2;5
5.65;0.487;0.501;3.71;0.087;25.5;32.0;0.99502;3.41;0.47;10.78;6
8.28;0.72;0.578;4.24;0.011;26.7;63.8;0.99699;3.72;0.77;10.66;6
7.27;0.602;0;3.18;0.01;22.5;30.8;0.99701;3.09;0.66;11.3;6
9.4;0.606;0.27;0.99;0.047;11.7;83.4;0.99746;3.53;0.81;10.11;5
8.64;0.722;0.024;1.82;0.019;18.4;43.0;0.99579;3.32;0.54;9.33;7
11.07;0.47;0.493;2.41;0.073;18.8;62.0;0.99607;3.07;0.84;11.34;5
9.89;0.451;0;3.2;0.082;11.0;6;0.99892;3.42;0.46;10.58;6
6.43;0.62;0.242;0.9;0.087;39.2;69.6;0.99786;3.16;0.28;10.29;5
